Subject,Age,Gender,Ethnicity,Exercise,L_category,Active,L_history,L_duration,L_intensity,LI_1,LI_2r,LI_3,LI_4r,LI_5,LI_6r,LI_7,LI_8r,LI_9,LI_10r,LF_1,LF_2r,LF_3,LF_4r,LF_5,LF_6r,LF_7,LF_8r,LF_9,LF_10r,LM_1,LM_2r,LM_3,LM_4r,LM_5,LM_6r,LM_7,LM_8r,LM_9,LM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1041,18,0,2,1,Cook,1,5,5,2,4,3,3,4,4,1,4,2,2,4,5,3,4,3,5,3,5,5,5,3,5,3,4,4,5,4,5,4,3,4,100,92.92929293,470.257,599.5737374,7.070707071,129.3167374,2,4,5,6,4.5,2.5,4.5,4.071428571
1043,19,1,4,1,Read,1,5,5,2,4,4,3,4,3,3,3,4,2,4,3,3,3,4,4,4,4,4,4,3,3,3,4,3,5,3,2,2,3,2,100,88,444.5887879,507.2042,12,62.61541212,3,4,5,4,6,3,4.5,4.214285714
1045,21,0,4,1,Photography,1,5,2,3,5,4,3,3,3,2,4,3,3,4,4,4,5,3,5,1,3,4,4,3,4,2,2,4,4,2,2,5,5,2,100,97.93814433,459.2253,503.3779381,2.06185567,44.15263814,3,3.5,3.5,1.5,3.5,3,2,2.857142857
1046,21,1,4,1,Game,1,3,5,1,4,4,4,4,4,2,2,4,4,4,4,2,5,4,4,3,5,4,4,4,4,2,4,4,5,4,4,1,2,2,98.97959184,97.89473684,638.4063265,670.8086316,1.084854995,32.40230505,3,3.5,3.5,6,5,4,1,3.714285714
1047,18,0,3,1,Cook,1,5,5,2,4,3,4,1,4,2,4,2,4,4,5,3,5,3,5,3,4,5,3,4,4,1,4,4,5,2,4,2,5,4,100,97,432.4956,515.8383,3,83.3427,3,4,4,6,2,2.5,1,3.214285714
1048,23,0,2,1,Read,1,4,5,2,4,4,4,2,3,2,5,2,3,2,4,2,2,2,3,4,3,2,3,2,2,3,5,3,4,3,3,2,4,2,92.22222222,94.31818182,617.1981111,591.5343182,-2.095959596,-25.66379293,3,4,3,3.5,2.5,4.5,1,3.071428571
1050,20,0,2,0,View,0,3,5,2,2,5,2,3,3,3,1,2,3,4,2,4,3,3,2,3,2,4,2,3,3,4,4,5,3,2,3,3,3,4,100,99,406.4557,471.3517,1,64.896,3,4,5,6,7,8,9,6
1051,26,0,4,1,Walk,1,5,1,2,3,2,3,3,3,4,1,1,3,1,3,5,1,5,1,5,1,4,2,3,3,4,2,2,3,1,5,1,1,4,100,97.91666667,597.0914,703.6061458,2.083333333,106.5147458,3,2,2.5,3.5,0,3,0.5,2.071428571
1052,22,0,2,1,Write,1,3,5,2,4,4,4,2,4,1,2,2,4,1,4,1,5,3,4,4,5,5,4,3,2,1,4,3,4,4,2,2,4,1,98.98989899,95,419.5973737,504.0541,3.98989899,84.45672626,2,4,5,4,7,5.5,8,5.071428571
1053,21,0,4,0,Photography,1,5,4,2,2,3,2,4,3,3,5,2,3,3,4,4,3,3,5,3,4,5,3,2,3,2,5,3,3,4,5,3,1,3,100,81.81818182,395.5031313,475.8481818,18.18181818,80.34505051,3,2,5,5,2,1,4,3.142857143
1054,19,0,2,1,Instrument (Music),1,3,5,3,4,4,3,4,4,3,2,4,2,4,4,2,4,2,4,2,4,4,3,3,4,3,2,2,3,2,3,3,2,2,93.82716049,70.73170732,393.1928395,441.2367073,23.09545318,48.04386781,1,4,5,5,7,4.5,6.5,4.714285714
1055,20,1,2,1,View,0,5,2,1,2,3,4,3,3,4,2,3,3,4,3,4,2,2,3,3,3,3,3,3,4,2,3,2,3,3,4,3,2,3,100,82,425.1987879,499.4675,18,74.26871212,3,4,5,5,1.5,3.5,3,3.571428571
1056,19,1,4,1,Instrument (Music),1,5,2,2,4,4,3,4,4,3,4,4,3,5,4,2,4,5,5,3,3,5,4,3,2,4,4,2,4,2,2,2,3,4,100,100,467.2609,561.8302041,0,94.56930408,3,1.5,5,5.5,2,5,3,3.571428571
1057,19,0,6,1,View,0,5,4,2,1,4,4,4,3,5,2,1,3,2,1,3,2,2,3,4,2,1,1,3,3,2,5,4,4,5,2,2,3,2,99,100,599.1678,658.6539796,-1,59.48617959,3,4,5,1.5,3,4,2,3.214285714
1058,19,0,3,0,Write,1,5,1,2,4,5,2,5,2,3,5,2,3,5,3,2,4,3,5,3,2,4,4,2,3,1,3,4,5,4,4,4,2,4,100,86.66666667,381.2146667,462.3738889,13.33333333,81.15922222,3,4,5,0.5,5,4.5,2,3.428571429
1059,20,1,2,1,Game,1,5,3,3,2,3,4,2,4,2,4,4,5,3,3,3,4,3,3,2,4,4,4,3,4,3,5,2,4,3,4,3,4,3,100,98,355.790404,415.8117,2,60.02129596,3,4,4,5.5,3.5,1,1.5,3.214285714
1060,24,0,4,1,Instrument (Music),1,5,1,2,4,4,3,5,3,2,2,4,2,4,3,2,4,3,5,3,4,4,4,2,2,4,3,2,3,3,4,1,1,2,100,98,434.9977,486.9695,2,51.9718,2,4,4,3,2,2.5,2.5,2.857142857
1063,19,0,2,0,Draw,1,5,2,1,3,3,4,2,2,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,2,4,2,2,3,100,96.96969697,419.5577,535.6390909,3.03030303,116.0813909,3,4,3,2,2.5,3,4.5,3.142857143
1064,20,1,6,1,Listen (Music),0,5,3,2,4,4,4,2,3,2,3,2,4,2,4,4,3,2,3,2,4,4,3,2,2,3,3,2,3,2,2,2,2,2,100,98,483.297,571.4424,2,88.1454,3,4,5,6,7,5.5,3.5,4.857142857
