"Subject","Age","Gender","Ethnicity","Exercise","L_category","Active","L_history","L_duration","L_intensity","LI_1","LI_2","LI_3","LI_4","LI_5","LF_1","LF_2","LF_3","LF_4","LF_5","LM_1","LM_2","LM_3","LM_4","LM_5","Trail1Error","Trail2Error","Trail3Error","Trail4Error","Trail5Error","SumTrailError","Trail1RT","Trail2RT","Trail3RT","Trail4RT","Trail5RT","MeanTrailRT","Baseline_Correct_Go_RT","Calibration_Noncancelled_Go_RT","Calibration_Correct_Go_RT","Test_Correct_Go_RT","Test_Noncancelled_Go_RT","NCER_M","NCER","NCER_P","Go_RT_M","Go_RT","Go_RT_P","SSD_M","SSD","SSD_P","SSRT_M","SSRT","SSRT_P","SSRT_Mean"
"1224",19,1,2,1,"Listen (Music)",0,5,5,2,2,4,3,2,2,2,5,2,2,2,4,3,2,5,3,2,5,4,6,6,23,37.7534,54.3746,55.0482,46.1321,52.3657,49.1348,255.282765957447,293.200566666667,339.529435416667,350.394522429907,303.69753,0.5,0.5,0.666666666666667,331.8757,331.8757,348.5751,50,90,130,281.8757,241.8757,218.5751,247.442166666667
"1225",18,1,2,1,"Listen (Music)",0,5,3,1,4,3,4,2,2,2,2,3,3,2,4,2,3,5,2,9,7,6,7,10,39,53.5049,41.5314,49.5651,57.1972,49.2411,50.20794,261.268034,340.254475,432.258279166667,374.098050925926,339.848852631579,0.166666666666667,0.583333333333333,0.833333333333333,298.8761,365.1765,431.5547,50,90,130,248.8761,275.1765,301.5547,275.202433333333
"1227",20,1,2,1,"Game",1,2,5,3,3,4,4,3,5,4,4,3,3,3,2,4,4,2,3,7,5,4,3,3,22,45.0082,44.3723,52.6395,55.11,40.3237,47.49074,262.203524,278.00445,307.025204166667,329.929123148148,276.582157142857,0.166666666666667,0.75,0.833333333333333,265.5336,331.8927,348.5564,10,50,90,255.5336,281.8927,258.5564,265.327566666667
"1228",21,1,2,1,"Game",1,3,3,3,4,3,2,2,3,4,5,2,3,3,5,4,4,5,4,2,2,1,1,0,6,45.0535,45.4216,44.748,64.4893,39.8736,47.9172,308.109741666667,315.3615375,397.333925,369.361287850467,324.1656,0.25,0.583333333333333,0.583333333333333,331.9588,381.7326,381.7326,50,90,130,281.9588,291.7326,251.7326,275.141333333333
"1229",20,2,2,1,"Game",1,5,2,2,2,5,4,1,4,4,4,1,2,4,4,5,4,3,4,0,1,1,7,2,11,53.1757,60.6991,73.7789,96.6705,64.6816,69.80116,291.782256,340.257125,385.2383125,372.090308333333,319.899627272727,0.0833333333333333,0.25,0.583333333333333,315.3007,331.9182,365.1195,10,50,90,NA,281.9182,275.1195,278.51885
"1230",21,2,2,0,"Socialize",1,5,5,3,2,3,2,2,3,3,3,4,4,4,5,4,4,4,2,10,3,5,3,6,27,51.5611,48.4253,61.8618,44.5139,50.9161,51.45564,253.451240909091,280.4744,289.716464583333,292.419932,268.167224,0.5,0.583333333333333,1,298.6529,298.7508,597.4728,0,0,40,298.6529,298.7508,NA,298.70185
"1231",20,1,4,1,"View",0,5,2,1,2,4,4,4,4,2,2,1,3,1,4,4,4,4,4,9,10,25,5,5,54,66.7742,91.7645,107.0756,95.5728,60.5118,84.33978,303.089106,365.193842857143,514.2283375,486.431114814815,361.611542857143,0.25,0.5,0.416666666666667,348.5309,431.5676,381.7442,170,210,250,178.5309,221.5676,131.7442,177.2809
"1232",21,2,2,0,"Listen (Music)",0,5,4,2,2,2,2,2,2,2,2,4,3,2,3,3,3,4,2,7,7,6,3,7,30,51.4732,47.7689,56.8552,68.9157,54.0508,55.81276,311.151070833333,363.249866666667,363.037422916667,369.406906481481,310.420111764706,0.416666666666667,0.5,0.5,348.5189,365.0644,365.0644,50,90,130,298.5189,275.0644,235.0644,269.549233333333
"1233",20,2,2,1,"View",0,5,4,1,2,3,2,3,2,3,3,3,3,2,3,2,3,3,2,6,9,8,3,5,31,48.2523,53.7186,45.8085,36.6106,42.578,45.3936,289.46676,353.332485714286,383.163972916667,385.456855555556,354.334965217391,0.416666666666667,0.583333333333333,0.916666666666667,365.0944,381.7447,481.4306,90,130,170,275.0944,251.7447,NA,263.41955
"1234",21,2,3,1,"Read",1,5,5,2,2,4,4,3,1,2,3,2,2,1,2,4,4,1,5,1,2,9,11,2,25,64.5731,72.6491,78.72,94.0487,62.1727,74.43272,262.74954375,302.401133333333,330.876302083333,309.733861682243,269.66545,0.833333333333333,0.833333333333333,0.666666666666667,365.1031,365.1031,331.9104,10,50,90,355.1031,315.1031,241.9104,304.038866666667
